Launching analysis for 1307113488 with LEAN Engine v2.5.0.0
2014-05-05 00:00:00 Initialized Phase 1 skeleton with indicators and RSI rule
2014-04-05 00:00:00 Algorithm starting warm up...
2014-05-05 00:00:00 Algorithm finished warming up.
2014-05-05 04:45:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 04:50:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 04:55:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 05:00:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 05:05:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 05:10:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 05:15:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 05:20:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 05:25:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 05:30:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 05:35:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 05:40:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 05:45:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 05:50:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 05:55:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 06:00:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 06:05:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 06:10:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 06:15:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 06:20:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 06:25:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 06:30:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 06:35:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 06:40:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 06:45:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 06:50:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 06:55:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 07:00:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 07:05:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 07:10:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 07:15:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 07:20:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 07:25:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 07:30:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 07:35:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 07:40:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 07:45:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 07:50:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 07:55:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 08:00:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 08:05:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 08:10:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 08:15:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 08:20:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 08:25:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 08:30:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 08:35:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 08:40:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 08:45:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 08:50:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 08:55:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 09:00:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 09:05:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 09:10:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 09:15:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 09:20:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 09:25:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 09:30:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 09:35:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 09:40:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 09:45:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 09:50:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 09:55:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 10:00:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 10:05:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 10:10:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 10:15:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 10:20:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 10:25:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 10:30:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 10:35:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 10:40:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 10:45:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 10:50:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 10:55:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 11:00:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 11:05:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 11:10:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 11:15:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 11:20:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 11:25:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 11:30:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 11:35:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 11:40:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 11:45:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 11:50:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 11:55:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 12:00:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 12:05:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 12:10:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
2014-05-05 12:15:00 Experts p: {'rsi': 0.5, 'macd': 0.5, 'trend': 0.5}
